child_id,absent_days,unexcused_absent_days,late_days,attendance_rate,max_consecutive_absent_days,absence_days_last_14d,absence_days_last_30d,monday_friday_absences,synthetic_pattern,expected_anomaly_flag
CH-20361,8,1,4,0.8769,3,0,4,3,mild_irregular,0
CH-20073,2,1,2,0.9692,2,1,1,0,normal,0
CH-20374,7,3,7,0.8923,1,3,3,2,mild_irregular,0
CH-20155,1,1,1,0.9846,1,0,0,0,normal,0
CH-20104,3,1,2,0.9538,2,1,1,1,normal,0
CH-20394,4,2,3,0.9385,1,0,1,2,mild_irregular,0
CH-20377,5,1,6,0.9231,3,1,5,3,mild_irregular,0
CH-20124,4,0,3,0.9385,0,1,1,0,normal,0
CH-20068,4,0,0,0.9385,0,0,2,1,normal,0
CH-20450,19,6,4,0.7077,5,2,10,9,frequent_unexcused_absence,1
CH-20009,3,1,3,0.9538,0,0,1,0,normal,0
CH-20194,3,0,2,0.9538,2,1,2,0,normal,0
CH-20406,7,3,4,0.8923,1,2,2,3,mild_irregular,0
CH-20084,4,0,3,0.9385,1,0,1,1,normal,0
CH-20371,5,1,8,0.9231,2,2,3,2,mild_irregular,0
CH-20388,8,1,4,0.8769,1,1,1,2,mild_irregular,0
CH-20495,9,7,5,0.8615,3,4,8,3,sudden_spike,1
CH-20030,2,1,1,0.9692,0,0,0,0,normal,0
CH-20316,3,0,3,0.9538,2,1,1,1,normal,0
CH-20408,4,2,3,0.9385,3,2,3,2,mild_irregular,0
CH-20490,16,11,5,0.7538,4,9,15,8,sudden_spike,1
CH-20491,12,8,4,0.8154,2,9,12,6,sudden_spike,1
CH-20280,0,0,3,1.0,0,0,0,0,normal,0
CH-20356,8,2,6,0.8769,3,2,2,2,mild_irregular,0
CH-20076,0,0,2,1.0,0,0,0,0,normal,0
CH-20461,12,12,8,0.8154,6,6,6,5,frequent_unexcused_absence,1
CH-20497,10,7,0,0.8462,2,10,10,7,sudden_spike,1
CH-20211,3,1,1,0.9538,2,1,2,0,normal,0
CH-20101,4,0,0,0.9385,2,0,0,0,normal,0
CH-20334,2,1,1,0.9692,1,0,1,0,normal,0
CH-20475,17,12,0,0.7385,2,7,7,4,sudden_spike,1
CH-20336,0,0,1,1.0,0,0,0,0,normal,0
CH-20440,15,6,2,0.7692,3,5,6,9,frequent_unexcused_absence,1
CH-20173,1,0,2,0.9846,1,0,0,0,normal,0
CH-20002,0,0,2,1.0,0,0,0,0,normal,0
CH-20333,1,1,1,0.9846,0,0,1,0,normal,0
CH-20409,7,1,4,0.8923,2,1,4,1,mild_irregular,0
CH-20070,0,0,0,1.0,0,0,0,0,normal,0
CH-20209,4,1,2,0.9385,1,0,0,0,normal,0
CH-20063,1,0,3,0.9846,0,1,1,0,normal,0
CH-20384,7,2,3,0.8923,3,3,4,1,mild_irregular,0
CH-20093,1,1,0,0.9846,0,0,1,0,normal,0
CH-20485,12,8,3,0.8154,2,7,12,5,sudden_spike,1
CH-20185,4,1,3,0.9385,2,1,1,1,normal,0
CH-20033,4,0,1,0.9385,2,0,1,0,normal,0
CH-20077,4,0,1,0.9385,2,0,0,0,normal,0
CH-20000,0,0,3,1.0,0,0,0,0,normal,0
CH-20011,0,0,2,1.0,0,0,0,0,normal,0
CH-20415,6,1,5,0.9077,1,1,3,2,mild_irregular,0
CH-20022,0,0,1,1.0,0,0,0,0,normal,0
CH-20072,0,0,1,1.0,0,0,0,0,normal,0
CH-20182,1,1,2,0.9846,0,1,1,1,normal,0
CH-20131,3,1,0,0.9538,2,1,2,0,normal,0
CH-20410,8,2,6,0.8769,1,1,4,2,mild_irregular,0
CH-20193,1,1,3,0.9846,1,1,1,1,normal,0
CH-20055,4,1,1,0.9385,0,1,2,1,normal,0
CH-20148,4,1,3,0.9385,2,0,0,0,normal,0
CH-20018,4,1,1,0.9385,2,0,0,1,normal,0
CH-20204,4,1,2,0.9385,2,0,2,1,normal,0
CH-20078,2,1,1,0.9692,2,1,1,1,normal,0
CH-20494,11,8,0,0.8308,4,7,9,5,sudden_spike,1
CH-20262,3,0,0,0.9538,0,1,1,1,normal,0
CH-20323,4,0,0,0.9385,2,0,2,0,normal,0
CH-20483,12,11,1,0.8154,5,9,12,3,sudden_spike,1
CH-20079,4,0,0,0.9385,1,1,1,1,normal,0
CH-20039,2,1,0,0.9692,2,0,2,1,normal,0
CH-20451,9,6,10,0.8615,4,4,7,6,frequent_unexcused_absence,1
CH-20046,3,0,1,0.9538,2,1,2,0,normal,0
CH-20238,1,1,0,0.9846,0,0,1,0,normal,0
CH-20391,5,1,4,0.9231,3,2,5,1,mild_irregular,0
CH-20352,7,3,5,0.8923,1,2,4,3,mild_irregular,0
CH-20341,4,1,0,0.9385,1,1,1,1,normal,0
CH-20277,3,1,0,0.9538,2,0,0,1,normal,0
CH-20290,2,1,2,0.9692,2,0,0,1,normal,0
CH-20317,3,1,1,0.9538,2,1,1,0,normal,0
CH-20304,1,1,1,0.9846,0,1,1,1,normal,0
CH-20268,1,0,2,0.9846,0,1,1,0,normal,0
CH-20069,1,1,1,0.9846,1,0,0,1,normal,0
CH-20455,14,9,3,0.7846,2,4,12,4,frequent_unexcused_absence,1
CH-20465,18,8,6,0.7231,3,2,12,4,frequent_unexcused_absence,1
CH-20154,0,0,0,1.0,0,0,0,0,normal,0
CH-20082,2,0,2,0.9692,2,1,1,1,normal,0
CH-20477,11,11,1,0.8308,4,8,10,7,sudden_spike,1
CH-20172,4,1,2,0.9385,2,1,1,1,normal,0
CH-20321,1,0,0,0.9846,0,1,1,0,normal,0
CH-20090,0,0,1,1.0,0,0,0,0,normal,0
CH-20180,1,1,2,0.9846,0,1,1,0,normal,0
CH-20414,8,1,5,0.8769,3,1,5,4,mild_irregular,0
CH-20312,2,1,0,0.9692,1,0,0,0,normal,0
CH-20278,0,0,2,1.0,0,0,0,0,normal,0
CH-20381,8,1,3,0.8769,2,1,4,4,mild_irregular,0
CH-20472,18,13,6,0.7231,2,6,11,7,frequent_unexcused_absence,1
CH-20362,7,1,3,0.8923,3,1,5,1,mild_irregular,0
CH-20324,1,1,3,0.9846,0,0,0,1,normal,0
CH-20431,18,16,8,0.7231,3,5,7,5,frequent_unexcused_absence,1
CH-20347,1,0,3,0.9846,1,0,0,1,normal,0
CH-20086,2,0,1,0.9692,2,0,0,1,normal,0
CH-20075,0,0,1,1.0,0,0,0,0,normal,0
CH-20438,20,15,5,0.6923,2,6,12,7,frequent_unexcused_absence,1
CH-20015,2,0,0,0.9692,1,1,2,0,normal,0
CH-20249,1,0,0,0.9846,0,0,0,0,normal,0
CH-20433,13,10,5,0.8,3,6,8,3,frequent_unexcused_absence,1
CH-20019,3,0,3,0.9538,0,1,1,1,normal,0
CH-20322,2,1,2,0.9692,2,0,2,0,normal,0
CH-20332,0,0,3,1.0,0,0,0,0,normal,0
CH-20056,1,0,0,0.9846,0,1,1,1,normal,0
CH-20301,0,0,0,1.0,0,0,0,0,normal,0
CH-20229,4,0,1,0.9385,1,0,0,0,normal,0
CH-20331,0,0,3,1.0,0,0,0,0,normal,0
CH-20132,0,0,1,1.0,0,0,0,0,normal,0
CH-20137,2,1,2,0.9692,2,1,1,0,normal,0
CH-20423,4,3,7,0.9385,2,0,4,2,mild_irregular,0
CH-20335,0,0,3,1.0,0,0,0,0,normal,0
CH-20025,1,1,0,0.9846,0,0,1,0,normal,0
CH-20464,14,14,2,0.7846,2,6,8,5,frequent_unexcused_absence,1
CH-20281,2,1,0,0.9692,1,0,0,1,normal,0
CH-20247,4,0,2,0.9385,1,1,1,1,normal,0
CH-20237,0,0,0,1.0,0,0,0,0,normal,0
CH-20117,2,1,2,0.9692,0,1,2,0,normal,0
CH-20042,0,0,2,1.0,0,0,0,0,normal,0
CH-20220,1,1,2,0.9846,0,1,1,0,normal,0
CH-20176,4,1,0,0.9385,0,0,1,0,normal,0
CH-20320,3,1,1,0.9538,1,1,1,0,normal,0
CH-20153,0,0,2,1.0,0,0,0,0,normal,0
CH-20231,1,0,2,0.9846,0,0,0,1,normal,0
CH-20227,0,0,3,1.0,0,0,0,0,normal,0
CH-20417,6,1,3,0.9077,2,2,2,1,mild_irregular,0
CH-20203,1,0,2,0.9846,1,1,1,1,normal,0
CH-20126,3,0,2,0.9538,2,1,2,1,normal,0
CH-20329,2,1,2,0.9692,1,1,2,1,normal,0
CH-20031,0,0,3,1.0,0,0,0,0,normal,0
CH-20113,3,1,0,0.9538,0,0,2,0,normal,0
CH-20470,14,10,6,0.7846,6,3,7,5,frequent_unexcused_absence,1
